注音      羅馬拼音  通用拼音  漢語拼音  注音二式  威妥瑪拼音
ㄋㄣ      nen       nen       nen       nen       nên
ㄋㄤ      nang      nang      nang      nang      nang
ㄋㄥ      neng      neng      neng      neng      nêng
(ㄋㄦ)    ner       ne        ne        ne        nê
ㄋㄧ      ni        ni        ni        ni        ni
ㄋㄧㄝ    nieh      nie       nie       nie       nieh
ㄋㄧㄠ    niao      niao      niao      niau      niao
ㄋㄧㄡ    niou      niou      niu       niou      niu
ㄋㄧㄢ    nian      nian      nian      nian      nien
ㄋㄧㄣ    nin       nin       nin       nin       nin
ㄋㄧㄤ    niang     niang     niang     niang     niang
ㄋㄧㄥ    ning      ning      ning      ning      ning
(ㄋㄧㄨ)  niu       niou      niu       niou      niu
ㄋㄨ      nu        nu        nu        nu        nu
ㄋㄨㄛ    nuo       nuo       nuo       nuo       no
ㄋㄨㄢ    nuan      nuan      nuan      nuan      nuan
ㄋㄨㄣ    nun       nun       nun       nuen      nun
ㄋㄨㄥ    nong      nong      nong      nung      nung
ㄋㄩ      nyu       nyu       nü        niu       nü
ㄋㄩㄝ    nyueh     nyue      nüe       niue      nüeh
ㄌㄚ      la        la        la        la        la
ㄌㄛ      lo        lo        lo        lo        lo
ㄌㄜ      le        le        le        le        lê
ㄌㄞ      lai       lai       lai       lai       lai
ㄌㄟ      lei       lei       lei       lei       lei
ㄌㄠ      lao       lao       lao       lau       lao
ㄌㄡ      lou       lou       lou       lou       lou
ㄌㄢ      lan       lan       lan       lan       lan
ㄌㄤ      lang      lang      lang      lang      lang
ㄌㄥ      leng      leng      leng      leng      lêng
(ㄌㄦ)    ler       le        le        le        lê
ㄌㄧ      li        li        li        li        li
ㄌㄧㄚ    lia       lia       lia       lia       lia
ㄌㄧㄝ    lieh      lie       lie       lie       lieh
ㄌㄧㄠ    liao      liao      liao      liau      liao
ㄌㄧㄡ    liou      liou      liu       liou      liu
ㄌㄧㄢ    lian      lian      lian      lian      lien
ㄌㄧㄣ    lin       lin       lin       lin       lin
ㄌㄧㄤ    liang     liang     liang     liang     liang
ㄌㄧㄥ    ling      ling      ling      ling      ling
(ㄌㄧㄨ)  liu       liou      liu       liou      liu
ㄌㄨ      lu        lu        lu        lu        lu
ㄌㄨㄛ    luo       luo       luo       luo       lo
ㄌㄨㄢ    luan      luan      luan      luan      luan
ㄌㄨㄣ    lun       lun       lun       luen      lun
ㄌㄨㄥ    long      long      long      lung      lung
ㄌㄩ      lyu       lyu       lü        liu       lü
ㄌㄩㄝ    lyueh     lyue      lüe       liue      lüeh
ㄌㄩㄢ    lyuan     lyuan     lüan      liuan     lüen
ㄍㄚ      ga        ga        ga        ga        ka
ㄍㄜ      ge        ge        ge        ge        kê
ㄍㄞ      gai       gai       gai       gai       kai
ㄍㄟ      gei       gei       gei       gei       kei
ㄍㄠ      gao       gao       gao       gau       kao
ㄍㄡ      gou       gou       gou       gou       kou
ㄍㄢ      gan       gan       gan       gan       kan
ㄍㄣ      gen       gen       gen       gen       kên
ㄍㄤ      gang      gang      gang      gang      kang
ㄍㄥ      geng      geng      geng      geng      kêng
(ㄍㄦ)    ger       ge        ge        ge        kê
ㄍㄨ      gu        gu        gu        gu        ku
ㄍㄨㄚ    gua       gua       gua       gua       kua
ㄍㄨㄛ    guo       guo       guo       guo       kuo
ㄍㄨㄞ    guai      guai      guai      guai      kuai
ㄍㄨㄟ    guei      guei      gui       guei      kui
ㄍㄨㄢ    guan      guan      guan      guan      kuan
ㄍㄨㄣ    gun       gun       gun       guen      kun
ㄍㄨㄤ    guang     guang     guang     guang     kuang
ㄍㄨㄥ    gong      gong      gong      gung      kung
(ㄍㄨㄧ)  gui       guei      gui       guei      kui
ㄎㄚ      ka        ka        ka        ka        k'a
ㄎㄜ      ke        ke        ke        ke        k'ê
ㄎㄞ      kai       kai       kai       kai       k'ai
ㄎㄠ      kao       kao       kao       kau       k'ao
ㄎㄡ      kou       kou       kou       kou       k'ou
ㄎㄢ      kan       kan       kan       kan       k'an
ㄎㄣ      ken       ken       ken       ken       k'ên
ㄎㄤ      kang      kang      kang      kang      k'ang
ㄎㄥ      keng      keng      keng      keng      k'êng
(ㄎㄦ)    ker       ke        ke        ke        k'ê
ㄎㄨ      ku        ku        ku        ku        k'u
ㄎㄨㄚ    kua       kua       kua       kua       k'ua
ㄎㄨㄛ    kuo       kuo       kuo       kuo       k'uo
ㄎㄨㄞ    kuai      kuai      kuai      kuai      k'uai
ㄎㄨㄟ    kuei      kuei      kui       kuei      k'ui
ㄎㄨㄢ    kuan      kuan      kuan      kuan      k'uan
ㄎㄨㄣ    kun       kun       kun       kuen      k'un
ㄎㄨㄤ    kuang     kuang     kuang     kuang     k'uang
ㄎㄨㄥ    kong      kong      kong      kung      k'ung
(ㄎㄨㄧ)  kui       kuei      kui       kuei      k'ui
ㄏㄚ      ha        ha        ha        ha        ha
ㄏㄜ      he        he        he        he        hê
ㄏㄞ      hai       hai       hai       hai       hai
ㄏㄟ      hei       hei       hei       hei       hei
ㄏㄠ      hao       hao       hao       hau       hao
ㄏㄡ      hou       hou       hou       hou       hou
ㄏㄢ      han       han       han       han       han
ㄏㄣ      hen       hen       hen       hen       hên
ㄏㄤ      hang      hang      hang      hang      hang
ㄏㄥ      heng      heng      heng      heng      hêng
(ㄏㄦ)    her       he        he        he        hê
ㄏㄨ      hu        hu        hu        hu        hu
ㄏㄨㄚ    hua       hua       hua       hua       hua
ㄏㄨㄛ    huo       huo       huo       huo       huo
ㄏㄨㄞ    huai      huai      huai      huai      huai
ㄏㄨㄟ    huei      huei      hui       huei      hui
ㄏㄨㄢ    huan      huan      huan      huan      huan
ㄏㄨㄣ    hun       hun       hun       huen      hun
ㄏㄨㄤ    huang     huang     huang     huang     huang
ㄏㄨㄥ    hong      hong      hong      hung      hung
(ㄏㄨㄧ)  hui       huei      hui       huei      hui
ㄐㄧ      ji        ji        ji        ji        chi
ㄐㄧㄚ    jia       jia       jia       jia       chia
ㄐㄧㄝ    jieh      jie       jie       jie       chieh
ㄐㄧㄠ    jiao      jiao      jiao      jiau      chiao
ㄐㄧㄡ    jiou      jiou      jiu       jiou      chiu
ㄐㄧㄢ    jian      jian      jian      jian      chien
ㄐㄧㄣ    jin       jin       jin       jin       chin
ㄐㄧㄤ    jiang     jiang     jiang     jiang     chiang
ㄐㄧㄥ    jing      jing      jing      jing      ching
ㄐㄩ      jyu       jyu       ju        jiu       chü
ㄐㄩㄝ    jyueh     jyue      jue       jiue      chüeh
ㄐㄩㄢ    jyuan     jyuan     juan      jiuan     chüan
ㄐㄩㄣ    jyun      jyun      jun       jiun      chün
ㄐㄩㄥ    jyong     jyong     jiong     jiung     chiung
(ㄐㄧㄨ)  jiu       jiou      jiu       jiou      chiu
ㄑㄧ      chi       ci        qi        chi       ch'i
ㄑㄧㄚ    chia      cia       qia       chia      ch'ia
ㄑㄧㄝ    chieh     cie       qie       chie      ch'ieh
ㄑㄧㄠ    chiao     ciao      qiao      chiau     ch'iao
ㄑㄧㄡ    chiou     ciou      qiu       chiou     ch'iu
ㄑㄧㄢ    chian     cian      qian      chian     ch'ien
ㄑㄧㄣ    chin      cin       qin       chin      ch'in
ㄑㄧㄤ    chiang    ciang     qiang     chiang    ch'iang
ㄑㄧㄥ    ching     cing      qing      ching     ch'ing
(ㄑㄧㄨ)  chiu      ciou      qiu       chiou     ch'iu
ㄑㄩ      chyu      cyu       qu        chiu      ch'ü
ㄑㄩㄝ    chyueh    cyue      que       chiue     ch'üeh
ㄑㄩㄢ    chyuan    cyuan     quan      chiuan    ch'üan
ㄑㄩㄣ    chyun     cyun      qun       chiun     ch'ün
ㄑㄩㄥ    chyong    cyong     qiong     chiung    ch'iung
ㄒㄧ      si        si        xi        shi       hsi
ㄒㄧㄚ    sia       sia       xia       shia      hsia
ㄒㄧㄝ    sieh      sie       xie       shie      hsieh
ㄒㄧㄠ    siao      siao      xiao      shiau     hsiao
ㄒㄧㄡ    siou      siou      xiu       shiou     hsiu
ㄒㄧㄢ    sian      sian      xian      shian     hsien
ㄒㄧㄣ    sin       sin       xin       shin      hsin
ㄒㄧㄤ    siang     siang     xiang     shiang    hsiang
ㄒㄧㄥ    sing      sing      xing      shing     hsing
(ㄒㄧㄨ)  siu       siou      xiu       shiou     hsiu
ㄒㄩ      syu       syu       xu        shiu      hsü
ㄒㄩㄝ    syueh     syue      xue       shiue     hsüeh
ㄒㄩㄢ    syuan     syuan     xuan      shiuan    hsüan
ㄒㄩㄣ    syun      syun      xun       shiun     hsün
ㄒㄩㄥ    syong     syong     xiong     shiung    hsiung
ㄓ        jhih      jhih      zhi       jr        chih
ㄓㄚ      jha       jha       zha       ja        cha
ㄓㄜ      jhe       jhe       zhe       je        chê
ㄓㄞ      jhai      jhai      zhai      jai       chai
ㄓㄟ      jhei      jhei      zhei      jei       chei
ㄓㄠ      jhao      jhao      zhao      jau       chao
ㄓㄡ      jhou      jhou      zhou      jou       chou
ㄓㄢ      jhan      jhan      zhan      jan       chan
ㄓㄣ      jhen      jhen      zhen      jen       chên
ㄓㄤ      jhang     jhang     zhang     jang      chang
ㄓㄥ      jheng     jheng     zheng     jeng      chêng
(ㄓㄦ)    jher      jhe       zhe       je        chê
ㄓㄨ      jhu       jhu       zhu       ju        chu
ㄓㄨㄚ    jhua      jhua      zhua      jua       chua
ㄓㄨㄛ    jhuo      jhuo      zhuo      juo       cho
ㄓㄨㄞ    jhuai     jhuai     zhuai     juai      chuai
ㄓㄨㄟ    jhuei     jhuei     zhui      juei      chui
ㄓㄨㄢ    jhuan     jhuan     zhuan     juan      chuan
ㄓㄨㄣ    jhun      jhun      zhun      juen      chun
ㄓㄨㄤ    jhuang    jhuang    zhuang    juang     chuang
ㄓㄨㄥ    jhong     jhong     zhong     jung      chung
(ㄓㄨㄧ)  jhui      jhuei     zhui      juei      chui
ㄔ        chih      chih      chi       chr       ch'ih
ㄔㄚ      cha       cha       cha       cha       ch'a
ㄔㄜ      che       che       che       che       ch'ê
ㄔㄞ      chai      chai      chai      chai      ch'ai
ㄔㄠ      chao      chao      chao      chau      ch'ao
ㄔㄡ      chou      chou      chou      chou      ch'ou
ㄔㄢ      chan      chan      chan      chan      ch'an
ㄔㄣ      chen      chen      chen      chen      ch'ên
ㄔㄤ      chang     chang     chang     chang     ch'ang
ㄔㄥ      cheng     cheng     cheng     cheng     ch'êng
(ㄔㄦ)    cher      che       che       che       ch'ê
ㄔㄨ      chu       chu       chu       chu       ch'u
ㄔㄨㄚ    chua      chua      chua      chua      ch'ua
ㄔㄨㄛ    chuo      chuo      chuo      chuo      ch'uo
ㄔㄨㄞ    chuai     chuai     chuai     chuai     ch'uai
ㄔㄨㄟ    chuei     chuei     chui      chuei     ch'ui
ㄔㄨㄢ    chuan     chuan     chuan     chuan     ch'uan
ㄔㄨㄣ    chun      chun      chun      chuen     ch'un
ㄔㄨㄤ    chuang    chuang    chuang    chuang    ch'uang
ㄔㄨㄥ    chong     chong     chong     chung     ch'ung
(ㄔㄨㄧ)  chui      chuei     chui      chuei     ch'ui
ㄕ        shih      shih      shi       shr       shih
ㄕㄚ      sha       sha       sha       sha       sha
ㄕㄜ      she       she       she       she       shê
ㄕㄞ      shai      shai      shai      shai      shai
ㄕㄟ      shei      shei      shei      shei      shei
ㄕㄠ      shao      shao      shao      shau      shao
ㄕㄡ      shou      shou      shou      shou      shou
ㄕㄢ      shan      shan      shan      shan      shan
ㄕㄣ      shen      shen      shen      shen      shên
ㄕㄤ      shang     shang     shang     shang     shang
ㄕㄥ      sheng     sheng     sheng     sheng     shêng
(ㄕㄦ)    sher      she       she       she       shê
ㄕㄨ      shu       shu       shu       shu       shu
ㄕㄨㄚ    shua      shua      shua      shua      shua
ㄕㄨㄛ    shuo      shuo      shuo      shuo      shuo
ㄕㄨㄞ    shuai     shuai     shuai     shuai     shuai
ㄕㄨㄟ    shuei     shuei     shui      shuei     shui
ㄕㄨㄢ    shuan     shuan     shuan     shuan     shuan
ㄕㄨㄣ    shun      shun      shun      shuen     shun
ㄕㄨㄤ    shuang    shuang    shuang    shuang    shuang
(ㄕㄨㄧ)  shui      shuei     shui      shuei     shui
ㄖ        rih       rih       ri        r         jih
ㄖㄜ      re        re        re        re        jê
ㄖㄠ      rao       rao       rao       rau       jao
ㄖㄡ      rou       rou       rou       rou       jou
ㄖㄢ      ran       ran       ran       ran       jan
ㄖㄣ      ren       ren       ren       ren       jên
ㄖㄤ      rang      rang      rang      rang      jang
ㄖㄥ      reng      reng      reng      reng      jêng
(ㄖㄦ)    rer       re        re        re        jê
ㄖㄨ      ru        ru        ru        ru        ju
ㄖㄨㄛ    ruo       ruo       ruo       ruo       jo
ㄖㄨㄟ    ruei      ruei      rui       ruei      jui
ㄖㄨㄢ    ruan      ruan      ruan      ruan      juan
ㄖㄨㄣ    run       run       run       ruen      jun
ㄖㄨㄥ    rong      rong      rong      rung      jung
(ㄖㄨㄧ)  rui       ruei      rui       ruei      jui
ㄗ        zih       zih       zi        tz        tzu
ㄗㄚ      za        za        za        tza       tsa
ㄗㄜ      ze        ze        ze        tze       tsê
ㄗㄞ      zai       zai       zai       tzai      tsai
ㄗㄟ      zei       zei       zei       tzei      tsei
ㄗㄠ      zao       zao       zao       tzau      tsao
ㄗㄡ      zou       zou       zou       tzou      tsou
ㄗㄢ      zan       zan       zan       tzan      tsan
ㄗㄣ      zen       zen       zen       tzen      tsên
ㄗㄤ      zang      zang      zang      tzang     tsang
ㄗㄥ      zeng      zeng      zeng      tzeng     tsêng
(ㄗㄦ)    zer       ze        ze        tze       tsê
ㄗㄨ      zu        zu        zu        tzu       tsu
ㄗㄨㄛ    zuo       zuo       zuo       tzuo      tso
ㄗㄨㄟ    zuei      zuei      zui       tzuei     tsui
ㄗㄨㄢ    zuan      zuan      zuan      tzuan     tsuan
ㄗㄨㄣ    zun       zun       zun       tzuen     tsun
ㄗㄨㄥ    zong      zong      zong      tzung     tsung
(ㄗㄨㄧ)  zui       zuei      zui       tzuei     tsui
ㄘ        tsih      cih       ci        tsz       tz'u
ㄘㄚ      tsa       ca        ca        tsa       ts'a
ㄘㄜ      tse       ce        ce        tse       ts'ê
ㄘㄞ      tsai      cai       cai       tsai      ts'ai
ㄘㄠ      tsao      cao       cao       tsau      ts'ao
ㄘㄡ      tsou      cou       cou       tsou      ts'ou
ㄘㄢ      tsan      can       can       tsan      ts'an
ㄘㄣ      tsen      cen       cen       tsen      ts'ên
ㄘㄤ      tsang     cang      cang      tsang     ts'ang
ㄘㄥ      tseng     ceng      ceng      tseng     ts'êng
(ㄘㄦ)    tser      ce        ce        tse       ts'ê
ㄘㄨ      tsu       cu        cu        tsu       ts'u
ㄘㄨㄛ    tsuo      cuo       cuo       tsuo      ts'o
ㄘㄨㄟ    tsuei     cuei      cui       tsuei     ts'ui
ㄘㄨㄢ    tsuan     cuan      cuan      tsuan     ts'uan
ㄘㄨㄣ    tsun      cun       cun       tsun      ts'un
ㄘㄨㄥ    tsong     cong      cong      tsung     ts'ung
(ㄘㄨㄧ)  tsui      cuei      cui       tsuei     ts'ui
ㄙ        sih       sih       si        sz        ssu
ㄙㄚ      sa        sa        sa        sa        sa
ㄙㄜ      se        se        se        se        sê
ㄙㄞ      sai       sai       sai       sai       sai
ㄙㄠ      sao       sao       sao       sau       sao
ㄙㄡ      sou       sou       sou       sou       sou
ㄙㄢ      san       san       san       san       san
ㄙㄣ      sen       sen       sen       sen       sên
ㄙㄤ      sang      sang      sang      sang      sang
ㄙㄥ      seng      seng      seng      seng      sêng
(ㄙㄦ)    ser       se        se        se        sê
ㄙㄨ      su        su        su        su        su
ㄙㄨㄛ    suo       suo       suo       suo       so
ㄙㄨㄟ    suei      suei      sui       suei      sui
ㄙㄨㄢ    suan      suan      suan      suan      suan
ㄙㄨㄣ    sun       sun       sun       suen      sun
ㄙㄨㄥ    song      song      song      sung      sung
(ㄙㄨㄧ)  sui       suei      sui       suei      sui
ㄚ        a         a         a         a         a
ㄛ        o         o         o         o         o
ㄜ        e         e         e         e         ê
ㄝ        eh        ê         ê         ê         eh
ㄞ        ai        ai        ai        ai        ai
ㄟ        ei        ei        ei        ei        ei
ㄠ        ao        ao        ao        au        ao
ㄡ        ou        ou        ou        ou        ou
ㄢ        an        an        an        an        an
ㄣ        en        en        en        en        ên
ㄤ        ang       ang       ang       ang       ang
ㄥ        eng       eng       eng       eng       êng
ㄦ        er        er        er        er        êrh
ㄧ        yi        yi        yi        yi        i
ㄧㄚ      ya        ya        ya        ya        ya
ㄧㄛ      yo        yo        yo        yo        yo
ㄧㄝ      yeh       ye        ye        ye        yeh
ㄧㄞ      yai       yai       yai       yai       yai
ㄧㄠ      yao       yao       yao       yau       yao
ㄧㄡ      you       you       you       you       you
ㄧㄢ      yan       yan       yan       yan       yen
ㄧㄣ      yin       yin       yin       yin       yin
ㄧㄤ      yang      yang      yang      yang      yang
ㄧㄥ      ying      ying      ying      ying      ying
(ㄧㄨ)    yiu       you       you       you       you
ㄨ        wu        wu        wu        wu        wu
ㄨㄚ      wa        wa        wa        wa        wa
ㄨㄛ      wo        wo        wo        wo        wo
ㄨㄞ      wai       wai       wai       wai       wai
ㄨㄟ      wei       wei       wei       wei       wei
ㄨㄢ      wan       wan       wan       wan       wan
ㄨㄣ      wun       wun       wen       wen       wên
ㄨㄤ      wang      wang      wang      wang      wang
ㄨㄥ      wong      wong      weng      weng      wêng
(ㄨㄧ)    wui       wei       wei       wei       wei
ㄩ        yu        yu        yu        yu        yü
ㄩㄝ      yueh      yue       yue       yue       yüeh
ㄩㄢ      yuan      yuan      yuan      yuan      yüen
ㄩㄣ      yun       yun       yun       yun       yün
ㄩㄥ      yong      yong      yong      yung      yung
